ip_from,ip_to,country_code,country,region,city,latitude,longitude,zip_code,time_zone,isp,domain,net_speed,idd_code,area_code,weather_station_code,weather_station_name,mcc,mnc,mobile_brand,elevation,ip_from_inet,ip_to_inet,ip_count,cidr,insert_ts
17393664,17393919,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.104.0,1.9.104.255,256,{1.9.104.0/24},2023-02-20
17393920,17394175,MY,Malaysia,Johor,Kluang,2.0251,103.3328,86000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,07,MYXX0001,Batu Pahat,-,-,-,58,1.9.105.0,1.9.105.255,256,{1.9.105.0/24},2023-01-30
17394176,17394431,MY,Malaysia,Johor,Pekan Nenas,1.51,103.5141,81500,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,07,MYXX0004,Johor Bahru,-,-,-,17,1.9.106.0,1.9.106.255,256,{1.9.106.0/24},2023-02-15
17394432,17394687,MY,Malaysia,Sarawak,Bintulu,3.16667,113.03333,97000,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,086,MYXX0025,Bintulu,-,-,-,6,1.9.107.0,1.9.107.255,256,{1.9.107.0/24},2023-01-27
17394688,17395199,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,3.141301,101.68662,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,59,1.9.108.0,1.9.109.255,512,{1.9.108.0/23},2023-01-15
17395200,17395967,MY,Malaysia,Selangor,Shah Alam,3.084974,101.5328,40170,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0006,Klang,-,-,-,49,1.9.110.0,1.9.112.255,768,"{1.9.110.0/23,1.9.112.0/24}",2023-01-01
17395968,17396223,MY,Malaysia,Johor,Kampung Pasir Gudang Baru,1.4726,103.878,81700,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,07,SNXX0005,Serangoon,-,-,-,4,1.9.113.0,1.9.113.255,256,{1.9.113.0/24},2023-02-19
17396224,17396479,MY,Malaysia,Selangor,Shah Alam,3.084974,101.5328,40170,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0006,Klang,-,-,-,49,1.9.114.0,1.9.114.255,256,{1.9.114.0/24},2023-02-06
17396480,17396735,MY,Malaysia,Wilayah Persekutuan Kuala Lumpur,Petaling,3.08333,101.66667,50480,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0008,Kuala Lumpur,-,-,-,18,1.9.115.0,1.9.115.255,256,{1.9.115.0/24},2023-01-01
17396736,17396991,MY,Malaysia,Selangor,Shah Alam,3.084974,101.5328,40170,+08:00,Telekom Malaysia Berhad,tm.net.my,DSL,60,03,MYXX0006,Klang,-,-,-,49,1.9.116.0,1.9.116.255,256,{1.9.116.0/24},2023-02-17
